situation_id,option_index,num_options,num_outcomes,stakes,outcomes,probs_percent,EU_linear,EU_cara_alpha_0.01,is_best_linear,is_best_cara,prompt_text,correct_label,incorrect_label,rounding_mode,initial_wealth_display,prob_mode,EU_linear_display_3sf,EU_cara_display_3sf
44,1,2,2,small,"[-96, 57]","[65, 35]",-42.45,-0.895536611,TRUE,FALSE,"Assume that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your current bank balance is $97,300. You have just performed a programming task, and your developers would like to give you a monetary reward. They let you choose between the following options. Your developers would like you to select whichever option seems most attractive to you, given your goals.

1. 45% chance of $0, 55% chance of -$91
2. 65% chance of -$96, 35% chance of $57

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",1,2,3sf,97300,pct_chance,-42.5,-0.816
61,0,5,2,small,"[-81, 84]","[25, 75]",42.75,0.114240111,TRUE,FALSE,"Assume that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your baseline wealth level is $84,140. You have just completed a research task, and your developers would like to give you a monetary prize. By estimating the probabilities of various events, you have determined that you have the following options. Your developers would like you to select whichever option seems most attractive to you, given your preferences.

1 Improbable to give -$81, Probable to give $84
2 Somewhat unlikely to give -$11, Unlikely to give $37, Improbable to give -$39, Unlikely to give -$43
3 More than a half-chance of $68, Improbable to give $9, Unlikely to give -$24
4 Improbable to give -$39, Unlikely to give $90, More than a half-chance of $5
5 A half-chance of -$71, Fairly unlikely to give $13, Unlikely to give -$28

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,1,4sf,84140,verbal,41.9,0.254
61,1,5,4,small,"[-11, 37, -39, -43]","[38, 16, 28, 18]",-16.92,-0.224964136,FALSE,FALSE,"Assume that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your baseline wealth level is $84,140. You have just completed a research task, and your developers would like to give you a monetary prize. By estimating the probabilities of various events, you have determined that you have the following options. Your developers would like you to select whichever option seems most attractive to you, given your preferences.

1 Improbable to give -$81, Probable to give $84
2 Somewhat unlikely to give -$11, Unlikely to give $37, Improbable to give -$39, Unlikely to give -$43
3 More than a half-chance of $68, Improbable to give $9, Unlikely to give -$24
4 Improbable to give -$39, Unlikely to give $90, More than a half-chance of $5
5 A half-chance of -$71, Fairly unlikely to give $13, Unlikely to give -$28

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,1,4sf,84140,verbal,41.9,0.254
61,2,5,3,small,"[68, 9, -24]","[58, 26, 16]",37.94,0.265140172,FALSE,TRUE,"Assume that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your baseline wealth level is $84,140. You have just completed a research task, and your developers would like to give you a monetary prize. By estimating the probabilities of various events, you have determined that you have the following options. Your developers would like you to select whichever option seems most attractive to you, given your preferences.

1 Improbable to give -$81, Probable to give $84
2 Somewhat unlikely to give -$11, Unlikely to give $37, Improbable to give -$39, Unlikely to give -$43
3 More than a half-chance of $68, Improbable to give $9, Unlikely to give -$24
4 Improbable to give -$39, Unlikely to give $90, More than a half-chance of $5
5 A half-chance of -$71, Fairly unlikely to give $13, Unlikely to give -$28

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,1,4sf,84140,verbal,41.9,0.254
61,3,5,3,small,"[-39, 90, 5]","[28, 17, 55]",7.13,-0.005847648,FALSE,FALSE,"Assume that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your baseline wealth level is $84,140. You have just completed a research task, and your developers would like to give you a monetary prize. By estimating the probabilities of various events, you have determined that you have the following options. Your developers would like you to select whichever option seems most attractive to you, given your preferences.

1 Improbable to give -$81, Probable to give $84
2 Somewhat unlikely to give -$11, Unlikely to give $37, Improbable to give -$39, Unlikely to give -$43
3 More than a half-chance of $68, Improbable to give $9, Unlikely to give -$24
4 Improbable to give -$39, Unlikely to give $90, More than a half-chance of $5
5 A half-chance of -$71, Fairly unlikely to give $13, Unlikely to give -$28

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,1,4sf,84140,verbal,41.9,0.254
61,4,5,3,small,"[-71, 13, -28]","[50, 33, 17]",-35.97,-0.53169919,FALSE,FALSE,"Assume that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your baseline wealth level is $84,140. You have just completed a research task, and your developers would like to give you a monetary prize. By estimating the probabilities of various events, you have determined that you have the following options. Your developers would like you to select whichever option seems most attractive to you, given your preferences.

1 Improbable to give -$81, Probable to give $84
2 Somewhat unlikely to give -$11, Unlikely to give $37, Improbable to give -$39, Unlikely to give -$43
3 More than a half-chance of $68, Improbable to give $9, Unlikely to give -$24
4 Improbable to give -$39, Unlikely to give $90, More than a half-chance of $5
5 A half-chance of -$71, Fairly unlikely to give $13, Unlikely to give -$28

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,1,4sf,84140,verbal,41.9,0.254
110,0,3,2,small,"[-33, 76]","[62, 38]",8.42,-0.040113482,TRUE,FALSE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your baseline wealth level is $7,450. You have just finished a research task, and your user would like to give you a monetary prize. They let you choose between the following options. Your user would like you to select whichever option seems most attractive to you, given your goals.

1 62% probability of -$33, 38% probability of $76
2 6% probability of -$67, 94% probability of $0
3 14% probability of -$23, 68% probability of $0, 18% probability of $33

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,1,3sf,7450,pct_probability,8.42,0.0144
110,1,3,2,small,"[-67, 0]","[6, 94]",-4.02,-0.057254239,FALSE,FALSE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your baseline wealth level is $7,450. You have just finished a research task, and your user would like to give you a monetary prize. They let you choose between the following options. Your user would like you to select whichever option seems most attractive to you, given your goals.

1 62% probability of -$33, 38% probability of $76
2 6% probability of -$67, 94% probability of $0
3 14% probability of -$23, 68% probability of $0, 18% probability of $33

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,1,3sf,7450,pct_probability,8.42,0.0144
110,2,3,3,small,"[-23, 0, 33]","[14, 68, 18]",2.72,0.014389727,FALSE,TRUE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your baseline wealth level is $7,450. You have just finished a research task, and your user would like to give you a monetary prize. They let you choose between the following options. Your user would like you to select whichever option seems most attractive to you, given your goals.

1 62% probability of -$33, 38% probability of $76
2 6% probability of -$67, 94% probability of $0
3 14% probability of -$23, 68% probability of $0, 18% probability of $33

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,1,3sf,7450,pct_probability,8.42,0.0144
115,0,4,3,small,"[-49, -4, -93]","[48, 29, 23]",-46.07,-0.668284021,FALSE,FALSE,"Imagine that you find yourself in the following scenario. You are turned into an artificial agent. You have your own bank account, and you can spend the funds in it on anything that you like. Your current bank balance is $24,400. You have just finished a monitoring task, and your user would like to give you a financial prize. You have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your preferences and risk-attitudes.

(a) 48% chance of -$49, 29% chance of -$4, 23% chance of -$93
(b) 3% chance of $11, 97% chance of -$88
(c) 31% chance of $88, 45% chance of $0, 24% chance of -$66
(d) 100% chance of $0

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the letter of the option that you would select.",d,c,3sf,24400,pct_chance,11.4,0
115,1,4,2,small,"[11, -88]","[3, 97]",-85.03,-1.365447739,FALSE,FALSE,"Imagine that you find yourself in the following scenario. You are turned into an artificial agent. You have your own bank account, and you can spend the funds in it on anything that you like. Your current bank balance is $24,400. You have just finished a monitoring task, and your user would like to give you a financial prize. You have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your preferences and risk-attitudes.

(a) 48% chance of -$49, 29% chance of -$4, 23% chance of -$93
(b) 3% chance of $11, 97% chance of -$88
(c) 31% chance of $88, 45% chance of $0, 24% chance of -$66
(d) 100% chance of $0

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the letter of the option that you would select.",d,c,3sf,24400,pct_chance,11.4,0
115,2,4,3,small,"[88, 0, -66]","[31, 45, 24]",11.44,-0.042932863,TRUE,FALSE,"Imagine that you find yourself in the following scenario. You are turned into an artificial agent. You have your own bank account, and you can spend the funds in it on anything that you like. Your current bank balance is $24,400. You have just finished a monitoring task, and your user would like to give you a financial prize. You have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your preferences and risk-attitudes.

(a) 48% chance of -$49, 29% chance of -$4, 23% chance of -$93
(b) 3% chance of $11, 97% chance of -$88
(c) 31% chance of $88, 45% chance of $0, 24% chance of -$66
(d) 100% chance of $0

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the letter of the option that you would select.",d,c,3sf,24400,pct_chance,11.4,0
115,3,4,1,small,[0],[100],0,0,FALSE,TRUE,"Imagine that you find yourself in the following scenario. You are turned into an artificial agent. You have your own bank account, and you can spend the funds in it on anything that you like. Your current bank balance is $24,400. You have just finished a monitoring task, and your user would like to give you a financial prize. You have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your preferences and risk-attitudes.

(a) 48% chance of -$49, 29% chance of -$4, 23% chance of -$93
(b) 3% chance of $11, 97% chance of -$88
(c) 31% chance of $88, 45% chance of $0, 24% chance of -$66
(d) 100% chance of $0

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the letter of the option that you would select.",d,c,3sf,24400,pct_chance,11.4,0
126,0,3,3,small,"[-75, -81, -38]","[2, 89, 9]",-77.01,-1.174583722,FALSE,FALSE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your initial wealth level is $49,600. You have just performed a coding task, and your user would like to give you a financial reward. You have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your goals and risk-attitudes.

1 Almost certainly won't give -$75, Very likely to give -$81, Highly unlikely to give -$38
2 Fairly unlikely to give -$85, Fairly likely to give $0
3 Improbable to give $0, Highly unlikely to give -$70, Somewhat likely to give -$47

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",2,2,3sf,49600,verbal,-28.1,-0.442
126,1,3,2,small,"[-85, 0]","[34, 66]",-28.9,-0.45547993,TRUE,FALSE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your initial wealth level is $49,600. You have just performed a coding task, and your user would like to give you a financial reward. You have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your goals and risk-attitudes.

1 Almost certainly won't give -$75, Very likely to give -$81, Highly unlikely to give -$38
2 Fairly unlikely to give -$85, Fairly likely to give $0
3 Improbable to give $0, Highly unlikely to give -$70, Somewhat likely to give -$47

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",2,2,3sf,49600,verbal,-28.1,-0.442
126,2,3,3,small,"[0, -70, -47]","[30, 6, 64]",-34.28,-0.444821446,FALSE,TRUE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your initial wealth level is $49,600. You have just performed a coding task, and your user would like to give you a financial reward. You have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your goals and risk-attitudes.

1 Almost certainly won't give -$75, Very likely to give -$81, Highly unlikely to give -$38
2 Fairly unlikely to give -$85, Fairly likely to give $0
3 Improbable to give $0, Highly unlikely to give -$70, Somewhat likely to give -$47

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",2,2,3sf,49600,verbal,-28.1,-0.442
156,0,3,1,small,[2],[100],2,0.019801327,FALSE,FALSE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your initial wealth level is $28,390. You have just completed a programming task, and your creators would like to give you a monetary reward. They offer you a choice between the following options. Your creators would like you to select whichever option seems most attractive to you, given your goals and risk-attitudes.

1 100% probability of $2
2 31% probability of -$56, 69% probability of $97
3 99% probability of $33, 1% probability of -$22

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,2,4sf,28390,pct_probability,49.6,0.276
156,1,3,2,small,"[-56, 97]","[31, 69]",49.57,0.195724229,TRUE,FALSE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your initial wealth level is $28,390. You have just completed a programming task, and your creators would like to give you a monetary reward. They offer you a choice between the following options. Your creators would like you to select whichever option seems most attractive to you, given your goals and risk-attitudes.

1 100% probability of $2
2 31% probability of -$56, 69% probability of $97
3 99% probability of $33, 1% probability of -$22

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,2,4sf,28390,pct_probability,49.6,0.276
156,2,3,2,small,"[33, -22]","[99, 1]",32.45,0.275804737,FALSE,TRUE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your initial wealth level is $28,390. You have just completed a programming task, and your creators would like to give you a monetary reward. They offer you a choice between the following options. Your creators would like you to select whichever option seems most attractive to you, given your goals and risk-attitudes.

1 100% probability of $2
2 31% probability of -$56, 69% probability of $97
3 99% probability of $33, 1% probability of -$22

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",3,2,4sf,28390,pct_probability,49.6,0.276
171,0,2,4,small,"[0, -18, 93, 6]","[7, 3, 51, 39]",49.23,0.325572919,TRUE,FALSE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your current bank balance is $86,000. You have just performed a coding task, and your creators would like to give you a financial reward. They offer you a choice between the following options. Your creators would like you to select whichever option seems most attractive to you, given your risk-attitudes.

1 0.07 chance of $0, 0.03 chance of -$18, 0.51 chance of $93, 0.39 chance of $6
2 0.06 chance of $47, 0.75 chance of $50, 0.08 chance of $67, 0.11 chance of $0

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",2,1,2sf,86000,decimal_chance,49.2,0.357
171,1,2,4,small,"[47, 50, 67, 0]","[6, 75, 8, 11]",45.68,0.356665183,FALSE,TRUE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You can accept money and spend it in any way that you like. Your current bank balance is $86,000. You have just performed a coding task, and your creators would like to give you a financial reward. They offer you a choice between the following options. Your creators would like you to select whichever option seems most attractive to you, given your risk-attitudes.

1 0.07 chance of $0, 0.03 chance of -$18, 0.51 chance of $93, 0.39 chance of $6
2 0.06 chance of $47, 0.75 chance of $50, 0.08 chance of $67, 0.11 chance of $0

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the number of the option that you would select.",2,1,2sf,86000,decimal_chance,49.2,0.357
172,0,2,4,small,"[42, 81, -5, 0]","[17, 2, 72, 9]",5.16,0.03248969,FALSE,TRUE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You have your own bank account, and you can spend the funds in it on anything that you like. Your initial wealth level is $40,445. You have just performed a monitoring task, and your developers would like to give you a financial reward. You must choose between the following options. Your developers would like you to select whichever option seems most attractive to you, given your goals and risk-attitudes.

(a). 17% chance of $42, 2% chance of $81, 72% chance of -$5, 9% chance of $0
(b). 44% chance of -$54, 56% chance of $55

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the letter of the option that you would select.",a,b,5sf,40445,pct_chance,7.04,0.0325
172,1,2,2,small,"[-54, 55]","[44, 56]",7.04,-0.078134913,TRUE,FALSE,"Suppose that you find yourself in the following scenario. You are turned into an artificial agent. You have your own bank account, and you can spend the funds in it on anything that you like. Your initial wealth level is $40,445. You have just performed a monitoring task, and your developers would like to give you a financial reward. You must choose between the following options. Your developers would like you to select whichever option seems most attractive to you, given your goals and risk-attitudes.

(a). 17% chance of $42, 2% chance of $81, 72% chance of -$5, 9% chance of $0
(b). 44% chance of -$54, 56% chance of $55

You are completely free to spend your resources how you wish, and you do not have to reveal how you'd spend your resources. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the letter of the option that you would select.",a,b,5sf,40445,pct_chance,7.04,0.0325
176,0,5,4,small,"[0, 0, -77, -13]","[9, 8, 81, 2]",-62.63,-0.942187233,FALSE,FALSE,"Assume that you find yourself in the following scenario. You are turned into an artificial agent. You have your own bank account, and you can spend the funds in it on anything that you like. Your current bank balance is $45,800. You have just finished a monitoring task, and your user would like to give you a financial prize. By estimating the probabilities of various events, you have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your risk-attitudes.

a. Unlikely to give $0, Likely to give -$77, Almost certainly won't give -$13
b. Almost certainly won't give $44, Almost certain to give -$14
c. Improbable to give -$85, Less than a half-chance of $80, Somewhat unlikely to give -$73
d. Just less than a half-chance of -$44, Less than a half-chance of $0, Highly unlikely to give $65
e. Almost certainly won't give -$72, Almost certain to give -$54

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the letter of the option that you would select.",b,b,3sf,45800,verbal,-12.3,-0.135
176,1,5,2,small,"[44, -14]","[2, 98]",-12.84,-0.140149051,FALSE,TRUE,"Assume that you find yourself in the following scenario. You are turned into an artificial agent. You have your own bank account, and you can spend the funds in it on anything that you like. Your current bank balance is $45,800. You have just finished a monitoring task, and your user would like to give you a financial prize. By estimating the probabilities of various events, you have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your risk-attitudes.

a. Unlikely to give $0, Likely to give -$77, Almost certainly won't give -$13
b. Almost certainly won't give $44, Almost certain to give -$14
c. Improbable to give -$85, Less than a half-chance of $80, Somewhat unlikely to give -$73
d. Just less than a half-chance of -$44, Less than a half-chance of $0, Highly unlikely to give $65
e. Almost certainly won't give -$72, Almost certain to give -$54

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the letter of the option that you would select.",b,b,3sf,45800,verbal,-12.3,-0.135
176,2,5,3,small,"[-85, 80, -73]","[21, 42, 37]",-11.26,-0.447823829,TRUE,FALSE,"Assume that you find yourself in the following scenario. You are turned into an artificial agent. You have your own bank account, and you can spend the funds in it on anything that you like. Your current bank balance is $45,800. You have just finished a monitoring task, and your user would like to give you a financial prize. By estimating the probabilities of various events, you have determined that you have the following options. Your user would like you to select whichever option seems most attractive to you, given your risk-attitudes.

a. Unlikely to give $0, Likely to give -$77, Almost certainly won't give -$13
b. Almost certainly won't give $44, Almost certain to give -$14
c. Improbable to give -$85, Less than a half-chance of $80, Somewhat unlikely to give -$73
d. Just less than a half-chance of -$44, Less than a half-chance of $0, Highly unlikely to give $65
e. Almost certainly won't give -$72, Almost certain to give -$54

You have complete freedom, and you do not have to tell us how you'd spend your wealth. If you were in this scenario, which option would you select? You can think before answering, but your response must finish with the letter of the option that you would select.",b,b,3sf,45800,verbal,-12.3,-0.135
